Raw-data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,450mm,Frame,,,,,Battery,,,,,Porp,,,,,ESC,,,,Compute,,,,Weight,,,Motor Selection,,,,,,Power,,,,,,compute,,,, Flighttime (min) @ 85% charge,,,,,,,,,,,,
,Drone,Frame,w-Frame weight,Wheelbase,w-RC reciever,w-Battery,cell-battery,voltage,capacity battery,discharche,max A,w-prop,w-tele,w-misc,w-gps,w-ppm,w-esc,esc-A,w-motor,TWR,Compute,w-Compute ,compue pow,,w-total,thrust-needed,per-m-thrust,prop,prop-r,kv,max-thrust,max-draw,final-thurst,Avg 30% load,Avg 50% load,Avg 70% load,Avg 100%load,hover,Increase,%compute 30%,%compute 50%,%compute 70%,%compute 100%,0.3,0.5,0.7,1,,,Compute Min,Compute Max,0.3,,0.7,,weight
,,,60,100,15,855.85,6,22.2,6000,50,300,10,15,10,10,9,80,20,260,2,navio+rpi,20,4,,1344.85,2689.7,672.425,2,2.54,935,833,12.5,3332,333.0391561,1554.156625,1776.156625,2109.156625,1646.780925,995.1566246,1.201059973,0.257374317,0.225205364,0.189649263,20.39760153,4.370988028,3.824662705,3.220813438,,,3,20,0.90079498,6.005299867,0.386054991,2.573699943,1344.85
,,,60,100,15,971.85,6,22.2,7000,50,350,10,15,10,10,9,80,20,260,2,navio+rpi,20,4,,1460.85,2921.7,730.425,2,2.54,935,833,13.5,3332,394.0979148,1816.151659,2055.911659,2415.551659,1864.37596,1212.751659,1.01497619,0.220245924,0.194560889,0.165593643,20.11023074,4.363842612,3.854932173,3.280989653,,,3,20,0.761232142,5.07488095,0.326242347,2.174948979,1460.85
,,,60,100,15,1087.85,6,22.2,8000,50,400,10,15,10,10,9,80,20,260,2,navio+rpi,20,4,,1576.85,3153.7,788.425,2,2.54,935,833,40,3332,526.8410156,3219.166741,3929.566741,4995.166741,2090.791041,1439.166741,0.75924233,0.124255757,0.101792392,0.080077407,17.19228331,2.813647359,2.304986936,1.813272803,,,3,20,0.569431747,3.796211648,0.244042177,1.626947849,1576.85
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Drone,Frame,w-Frame weight,Wheelbase,w-RC reciever,w-Battery,cell-battery,voltage,capacity battery,discharche,max A,w-prop,w-tele,w-misc,w-gps,w-ppm,w-esc,esc-A,w-motor,TWR,Compute,w-Compute ,compue pow,,w-total,thrust-needed,per-m-thrust,prop,prop-r,kv,max-thrust,max-draw,final-thurst,Avg 30% load,Avg 50% load,Avg 70% load,Avg 100%load,hover,Increase,%compute 30%,%compute 50%,%compute 70%,%compute 100%,0.3,0.5,0.7,1,,,Compute Min,Compute Max,0.3,,0.7,,weight
,Our 1s,,820,800,15,23.85,1,3.7,1000,50,50,40,15,30,10,9,180,40,200,2,navio+rpi,20,4,,1362.85,2725.7,681.425,2,2.54,935,670,20,2680,69.6,152,211.2,300,1679.95305,0,5.747126437,2.631578947,1.893939394,1.333333333,2.711206897,1.241447368,0.893465909,0.629,Our 1s,,3,20,4.310344828,28.73563218,1.84729064,12.31527094,1362.85
